year,catch_category,length,numbers
2021,Discards,270,87669.5
2021,Discards,280,34611.68
2021,Discards,290,11760.91
2021,Discards,300,3841.78
2021,Discards,310,1269.71
2021,Discards,330,73.4
2021,Landings,220,390.9
2021,Landings,230,2769.44
2021,Landings,240,6223.71
2021,Landings,250,21611.46
2021,Landings,260,92117.23
2021,Landings,270,284310.88
2021,Landings,280,343803.2
2021,Landings,290,381531.22
2021,Landings,300,411389.97
2021,Landings,310,450001.52
2021,Landings,320,413009.86
2021,Landings,330,264264.87
2021,Landings,340,172906.27
2021,Landings,350,129173.93
2021,Landings,360,92797.31
2021,Landings,370,68439.91
2021,Landings,380,69103.65
2021,Landings,390,51345.4
2021,Landings,400,45315.72
2021,Landings,410,35374.25
2021,Landings,420,27923.14
2021,Landings,430,28464.53
2021,Landings,440,27847.35
2021,Landings,450,21771.17
2021,Landings,460,22215.57
2021,Landings,470,22891.03
2021,Landings,480,17249.22
2021,Landings,490,17547.55
2021,Landings,500,11810.61
2021,Landings,510,12738.28
2021,Landings,520,7727.34
2021,Landings,530,5577.38
2021,Landings,540,4923.46
2021,Landings,550,4860.34
2021,Landings,560,4581.94
2021,Landings,570,1887.35
2021,Landings,580,2251.49
2021,Landings,590,905.89
2021,Landings,600,1089.51
2021,Landings,610,258.95
2021,Landings,620,265.84
2021,Landings,630,84.77
